prompt,context,A,B,C,D,E,answer,source
"What is the role of at least one subsystem in cellular life, as mentioned in the text?","Living systems are open self-organizing living things that interact with their environment. These systems are maintained by flows of information, energy, and matter. Budisa, Kubyshkin and Schmidt defined cellular life as an organizational unit resting on four pillars/cornerstones: (i) energy, (ii) metabolism, (iii) information and (iv) form. This system is able to regulate and control metabolism and energy supply and contains at least one subsystem that functions as an information carrier (genetic information). Cells as self-sustaining units are parts of different populations that are involved in the unidirectional and irreversible open-ended process known as evolution.[48] Some scientists have proposed in the last few decades that a general living systems theory is required to explain the nature of life.[49] Such a general theory would arise out of the ecological and biological sciences and attempt to map general principles for how all living systems work. Instead of examining phenomena by attempting to break things down into components, a general living systems theory explores phenomena in terms of dynamic patterns of the relationships of organisms with their environment.[50]",A: To regulate and control metabolism,B: To isolate the cell from the environment,C: To break down matter into its components,D: To maintain a closed relationship with other cells,E: To reproduce and create new cells,Answer: A,104
Who co-developed the Gaia hypothesis with James Lovelock?,"The Gaia hypothesis (/ˈɡaɪ.ə/), also known as the Gaia theory, Gaia paradigm, or the Gaia principle, proposes that living organisms interact with their inorganic surroundings on Earth to form a synergistic and self-regulating, complex system that helps to maintain and perpetuate the conditions for life on the planet. The Gaia hypothesis was formulated by the chemist James Lovelock[1] and co-developed by the microbiologist Lynn Margulis in the 1970s.[2] Following the suggestion by his neighbour, novelist William Golding, Lovelock named the hypothesis after Gaia, the primordial deity who personified the Earth in Greek mythology. In 2006, the Geological Society of London awarded Lovelock the Wollaston Medal in part for his work on the Gaia hypothesis.[3] Topics related to the hypothesis include how the biosphere and the evolution of organisms affect the stability of global temperature, salinity of seawater, atmospheric oxygen levels, the maintenance of a hydrosphere of liquid water and other environmental variables that affect the habitability of Earth. The Gaia hypothesis was initially criticized for being teleological and against the principles of natural selection, but later refinements aligned the Gaia hypothesis with ideas from fields such as Earth system science, biogeochemistry and systems ecology.[4][5][6] Even so, the Gaia hypothesis continues to attract criticism, and today many scientists consider it to be only weakly supported by, or at odds with, the available evidence.[7][8][9][10]",A: William Golding,B: Lynn Margulis,C: Charles Darwin,D: Richard Dawkins,E: Stephen Jay Gould,Answer: B,104
What does the Gaia hypothesis propose about the interaction between living organisms and their environment on Earth?,"The Gaia hypothesis (/ˈɡaɪ.ə/), also known as the Gaia theory, Gaia paradigm, or the Gaia principle, proposes that living organisms interact with their inorganic surroundings on Earth to form a synergistic and self-regulating, complex system that helps to maintain and perpetuate the conditions for life on the planet. The Gaia hypothesis was formulated by the chemist James Lovelock[1] and co-developed by the microbiologist Lynn Margulis in the 1970s.[2] Following the suggestion by his neighbour, novelist William Golding, Lovelock named the hypothesis after Gaia, the primordial deity who personified the Earth in Greek mythology. In 2006, the Geological Society of London awarded Lovelock the Wollaston Medal in part for his work on the Gaia hypothesis.[3] Topics related to the hypothesis include how the biosphere and the evolution of organisms affect the stability of global temperature, salinity of seawater, atmospheric oxygen levels, the maintenance of a hydrosphere of liquid water and other environmental variables that affect the habitability of Earth. The Gaia hypothesis was initially criticized for being teleological and against the principles of natural selection, but later refinements aligned the Gaia hypothesis with ideas from fields such as Earth system science, biogeochemistry and systems ecology.[4][5][6] Even so, the Gaia hypothesis continues to attract criticism, and today many scientists consider it to be only weakly supported by, or at odds with, the available evidence.[7][8][9][10]",A: They have no significant impact on each other.,B: They interact in a way that harms the environment.,C: They interact in a way that disrupts the balance of nature.,D: They interact synergistically to form a self-regulating system.,"E: They are in constant conflict, leading to environmental degradation.",Answer: D,104
Why did James Lovelock name the hypothesis after Gaia?,"The Gaia hypothesis (/ˈɡaɪ.ə/), also known as the Gaia theory, Gaia paradigm, or the Gaia principle, proposes that living organisms interact with their inorganic surroundings on Earth to form a synergistic and self-regulating, complex system that helps to maintain and perpetuate the conditions for life on the planet. The Gaia hypothesis was formulated by the chemist James Lovelock[1] and co-developed by the microbiologist Lynn Margulis in the 1970s.[2] Following the suggestion by his neighbour, novelist William Golding, Lovelock named the hypothesis after Gaia, the primordial deity who personified the Earth in Greek mythology. In 2006, the Geological Society of London awarded Lovelock the Wollaston Medal in part for his work on the Gaia hypothesis.[3] Topics related to the hypothesis include how the biosphere and the evolution of organisms affect the stability of global temperature, salinity of seawater, atmospheric oxygen levels, the maintenance of a hydrosphere of liquid water and other environmental variables that affect the habitability of Earth. The Gaia hypothesis was initially criticized for being teleological and against the principles of natural selection, but later refinements aligned the Gaia hypothesis with ideas from fields such as Earth system science, biogeochemistry and systems ecology.[4][5][6] Even so, the Gaia hypothesis continues to attract criticism, and today many scientists consider it to be only weakly supported by, or at odds with, the available evidence.[7][8][9][10]",A: Because he believed in the existence of a primordial deity named Gaia.,B: Because Gaia was his neighbor and suggested the name.,C: Because Gaia was a famous scientist who supported his theory.,D: Because it symbolized the Earth in Greek mythology.,E: Because he wanted to honor his favorite author.,Answer: D,104
What environmental variables does the Gaia hypothesis suggest are influenced by the biosphere and the evolution of organisms?,"The Gaia hypothesis (/ˈɡaɪ.ə/), also known as the Gaia theory, Gaia paradigm, or the Gaia principle, proposes that living organisms interact with their inorganic surroundings on Earth to form a synergistic and self-regulating, complex system that helps to maintain and perpetuate the conditions for life on the planet. The Gaia hypothesis was formulated by the chemist James Lovelock[1] and co-developed by the microbiologist Lynn Margulis in the 1970s.[2] Following the suggestion by his neighbour, novelist William Golding, Lovelock named the hypothesis after Gaia, the primordial deity who personified the Earth in Greek mythology. In 2006, the Geological Society of London awarded Lovelock the Wollaston Medal in part for his work on the Gaia hypothesis.[3] Topics related to the hypothesis include how the biosphere and the evolution of organisms affect the stability of global temperature, salinity of seawater, atmospheric oxygen levels, the maintenance of a hydrosphere of liquid water and other environmental variables that affect the habitability of Earth. The Gaia hypothesis was initially criticized for being teleological and against the principles of natural selection, but later refinements aligned the Gaia hypothesis with ideas from fields such as Earth system science, biogeochemistry and systems ecology.[4][5][6] Even so, the Gaia hypothesis continues to attract criticism, and today many scientists consider it to be only weakly supported by, or at odds with, the available evidence.[7][8][9][10]","A: Global temperature, atmospheric carbon dioxide levels, and tectonic plate movement.","B: Salinity of seawater, atmospheric oxygen levels, and the presence of liquid water.","C: Solar radiation, volcanic activity, and wind patterns.","D: Ocean currents, seismic activity, and asteroid impacts.","E: Soil composition, river flow rates, and mountain formation.",Answer: B,104
How is the Gaia hypothesis perceived by many scientists today?,"The Gaia hypothesis (/ˈɡaɪ.ə/), also known as the Gaia theory, Gaia paradigm, or the Gaia principle, proposes that living organisms interact with their inorganic surroundings on Earth to form a synergistic and self-regulating, complex system that helps to maintain and perpetuate the conditions for life on the planet. The Gaia hypothesis was formulated by the chemist James Lovelock[1] and co-developed by the microbiologist Lynn Margulis in the 1970s.[2] Following the suggestion by his neighbour, novelist William Golding, Lovelock named the hypothesis after Gaia, the primordial deity who personified the Earth in Greek mythology. In 2006, the Geological Society of London awarded Lovelock the Wollaston Medal in part for his work on the Gaia hypothesis.[3] Topics related to the hypothesis include how the biosphere and the evolution of organisms affect the stability of global temperature, salinity of seawater, atmospheric oxygen levels, the maintenance of a hydrosphere of liquid water and other environmental variables that affect the habitability of Earth. The Gaia hypothesis was initially criticized for being teleological and against the principles of natural selection, but later refinements aligned the Gaia hypothesis with ideas from fields such as Earth system science, biogeochemistry and systems ecology.[4][5][6] Even so, the Gaia hypothesis continues to attract criticism, and today many scientists consider it to be only weakly supported by, or at odds with, the available evidence.[7][8][9][10]",A: It is widely accepted as a proven theory.,B: It is considered strongly supported by available evidence.,C: It is seen as compatible with natural selection principles.,D: It is often criticized and considered weakly supported by evidence.,E: It is considered teleological and against the principles of Earth system science.,Answer: D,104
"According to materialism, what is the fundamental substance in nature?","Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions of material things. According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. Materialism directly contrasts with idealism, according to which consciousness is the fundamental substance of nature. Materialism is closely related to physicalism—the view that all that exists is ultimately physical. Philosophical physicalism has evolved from materialism with the theories of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter (e.g. spacetime, physical energies and forces, and dark matter). Thus, some prefer the term physicalism to materialism, while others use the terms as if they were synonymous. Philosophies traditionally opposed or largely historically unreconciled to the scientific theories of materialism or physicalism include idealism, pluralism, dualism, panpsychism, and other forms of monism. Epicureanism is a philosophy of materialism from classical antiquity that was a major forerunner of modern science. Though ostensibly a deist, Epicurus affirmed the literal existence of the Greek gods in either some type of celestial ""heaven"" cognate from which they ruled the Universe (if not on a literal Mount Olympus), and his philosophy promulgated atomism, while Platonism taught roughly the opposite, despite Plato's teaching of Zeus as God.",A: Energy,B: Consciousness,C: Ideas,D: Matter,E: Space,Answer: D,104
How does materialism view mind and consciousness?,"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions of material things. According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. Materialism directly contrasts with idealism, according to which consciousness is the fundamental substance of nature. Materialism is closely related to physicalism—the view that all that exists is ultimately physical. Philosophical physicalism has evolved from materialism with the theories of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter (e.g. spacetime, physical energies and forces, and dark matter). Thus, some prefer the term physicalism to materialism, while others use the terms as if they were synonymous. Philosophies traditionally opposed or largely historically unreconciled to the scientific theories of materialism or physicalism include idealism, pluralism, dualism, panpsychism, and other forms of monism. Epicureanism is a philosophy of materialism from classical antiquity that was a major forerunner of modern science. Though ostensibly a deist, Epicurus affirmed the literal existence of the Greek gods in either some type of celestial ""heaven"" cognate from which they ruled the Universe (if not on a literal Mount Olympus), and his philosophy promulgated atomism, while Platonism taught roughly the opposite, despite Plato's teaching of Zeus as God.",A: They are the fundamental substance of nature.,B: They are supernatural phenomena.,C: They are products of material interactions.,D: They are unrelated to the physical world.,E: They are the source of all matter.,Answer: C,104
What is the relationship between materialism and physicalism?,"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions of material things. According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. Materialism directly contrasts with idealism, according to which consciousness is the fundamental substance of nature. Materialism is closely related to physicalism—the view that all that exists is ultimately physical. Philosophical physicalism has evolved from materialism with the theories of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter (e.g. spacetime, physical energies and forces, and dark matter). Thus, some prefer the term physicalism to materialism, while others use the terms as if they were synonymous. Philosophies traditionally opposed or largely historically unreconciled to the scientific theories of materialism or physicalism include idealism, pluralism, dualism, panpsychism, and other forms of monism. Epicureanism is a philosophy of materialism from classical antiquity that was a major forerunner of modern science. Though ostensibly a deist, Epicurus affirmed the literal existence of the Greek gods in either some type of celestial ""heaven"" cognate from which they ruled the Universe (if not on a literal Mount Olympus), and his philosophy promulgated atomism, while Platonism taught roughly the opposite, despite Plato's teaching of Zeus as God.",A: Materialism and physicalism are synonymous.,B: Materialism and physicalism are unrelated philosophies.,C: Materialism is a subset of physicalism.,D: Physicalism is a subset of materialism.,E: Materialism and physicalism are contradictory views.,Answer: A,104
Which philosophical view opposes materialism by asserting that consciousness is the fundamental substance of nature?,"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions of material things. According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. Materialism directly contrasts with idealism, according to which consciousness is the fundamental substance of nature. Materialism is closely related to physicalism—the view that all that exists is ultimately physical. Philosophical physicalism has evolved from materialism with the theories of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter (e.g. spacetime, physical energies and forces, and dark matter). Thus, some prefer the term physicalism to materialism, while others use the terms as if they were synonymous. Philosophies traditionally opposed or largely historically unreconciled to the scientific theories of materialism or physicalism include idealism, pluralism, dualism, panpsychism, and other forms of monism. Epicureanism is a philosophy of materialism from classical antiquity that was a major forerunner of modern science. Though ostensibly a deist, Epicurus affirmed the literal existence of the Greek gods in either some type of celestial ""heaven"" cognate from which they ruled the Universe (if not on a literal Mount Olympus), and his philosophy promulgated atomism, while Platonism taught roughly the opposite, despite Plato's teaching of Zeus as God.",A: Idealism,B: Pluralism,C: Dualism,D: Panpsychism,E: Epicureanism,Answer: A,104
What is the main difference between materialism and idealism?,"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions of material things. According to philosophical materialism, mind and consciousness are by-products or epiphenomena of material processes (such as the biochemistry of the human brain and nervous system), without which they cannot exist. Materialism directly contrasts with idealism, according to which consciousness is the fundamental substance of nature. Materialism is closely related to physicalism—the view that all that exists is ultimately physical. Philosophical physicalism has evolved from materialism with the theories of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter (e.g. spacetime, physical energies and forces, and dark matter). Thus, some prefer the term physicalism to materialism, while others use the terms as if they were synonymous. Philosophies traditionally opposed or largely historically unreconciled to the scientific theories of materialism or physicalism include idealism, pluralism, dualism, panpsychism, and other forms of monism. Epicureanism is a philosophy of materialism from classical antiquity that was a major forerunner of modern science. Though ostensibly a deist, Epicurus affirmed the literal existence of the Greek gods in either some type of celestial ""heaven"" cognate from which they ruled the Universe (if not on a literal Mount Olympus), and his philosophy promulgated atomism, while Platonism taught roughly the opposite, despite Plato's teaching of Zeus as God.","A: Materialism emphasizes the importance of ideas, while idealism focuses on matter.","B: Materialism views consciousness as a fundamental substance, while idealism sees it as an epiphenomenon.","C: Materialism asserts that everything is physical, while idealism believes that everything is mental.",D: Materialism and idealism are essentially the same philosophy with different names.,"E: Materialism rejects the existence of gods, while idealism affirms their literal existence.",Answer: C,104
What are extremophiles in the context of microbial life?,"To survive, selected microorganisms can assume forms that enable them to withstand freezing, complete desiccation, starvation, high levels of radiation exposure, and other physical or chemical challenges. These microorganisms may survive exposure to such conditions for weeks, months, years, or even centuries.[123] Extremophiles are microbial life forms that thrive outside the ranges where life is commonly found.[145] They excel at exploiting uncommon sources of energy. While all organisms are composed of nearly identical molecules, evolution has enabled such microbes to cope with this wide range of physical and chemical conditions. Characterization of the structure and metabolic diversity of microbial communities in such extreme environments is ongoing.[146] Microbial life forms thrive even in the Mariana Trench, the deepest spot in the Earth's oceans.[135][136] Microbes also thrive inside rocks up to 1,900 feet (580 m) below the sea floor under 8,500 feet (2,600 m) of ocean.[135][137] Expeditions of the International Ocean Discovery Program found unicellular life in 120 °C sediment that is 1.2 km below seafloor in the Nankai Trough subduction zone.[147] Investigation of the tenacity and versatility of life on Earth,[145] as well as an understanding of the molecular systems that some organisms utilise to survive such extremes, is important for the search for life beyond Earth.[123] For example, lichen could survive for a month in a simulated Martian environment.[148][149]",A: Microbes that are commonly found in most environments.,B: Microbes that thrive in extreme physical or chemical conditions.,C: Microbes that are highly susceptible to radiation exposure.,D: Microbes that are sensitive to desiccation.,E: Microbes that are only found in deep ocean environments.,Answer: B,104
Where can microbial life be found in the Mariana Trench?,"To survive, selected microorganisms can assume forms that enable them to withstand freezing, complete desiccation, starvation, high levels of radiation exposure, and other physical or chemical challenges. These microorganisms may survive exposure to such conditions for weeks, months, years, or even centuries.[123] Extremophiles are microbial life forms that thrive outside the ranges where life is commonly found.[145] They excel at exploiting uncommon sources of energy. While all organisms are composed of nearly identical molecules, evolution has enabled such microbes to cope with this wide range of physical and chemical conditions. Characterization of the structure and metabolic diversity of microbial communities in such extreme environments is ongoing.[146] Microbial life forms thrive even in the Mariana Trench, the deepest spot in the Earth's oceans.[135][136] Microbes also thrive inside rocks up to 1,900 feet (580 m) below the sea floor under 8,500 feet (2,600 m) of ocean.[135][137] Expeditions of the International Ocean Discovery Program found unicellular life in 120 °C sediment that is 1.2 km below seafloor in the Nankai Trough subduction zone.[147] Investigation of the tenacity and versatility of life on Earth,[145] as well as an understanding of the molecular systems that some organisms utilise to survive such extremes, is important for the search for life beyond Earth.[123] For example, lichen could survive for a month in a simulated Martian environment.[148][149]",A: Microbes are not found in the Mariana Trench.,B: Microbes are found only on the surface of the trench.,C: Microbes thrive in the deepest spot in the Mariana Trench.,D: Microbes are found at shallow depths within the trench.,E: Microbes are found only in the surrounding ocean water.,Answer: C,104
What is the International Ocean Discovery Program's discovery related to microbial life?,"To survive, selected microorganisms can assume forms that enable them to withstand freezing, complete desiccation, starvation, high levels of radiation exposure, and other physical or chemical challenges. These microorganisms may survive exposure to such conditions for weeks, months, years, or even centuries.[123] Extremophiles are microbial life forms that thrive outside the ranges where life is commonly found.[145] They excel at exploiting uncommon sources of energy. While all organisms are composed of nearly identical molecules, evolution has enabled such microbes to cope with this wide range of physical and chemical conditions. Characterization of the structure and metabolic diversity of microbial communities in such extreme environments is ongoing.[146] Microbial life forms thrive even in the Mariana Trench, the deepest spot in the Earth's oceans.[135][136] Microbes also thrive inside rocks up to 1,900 feet (580 m) below the sea floor under 8,500 feet (2,600 m) of ocean.[135][137] Expeditions of the International Ocean Discovery Program found unicellular life in 120 °C sediment that is 1.2 km below seafloor in the Nankai Trough subduction zone.[147] Investigation of the tenacity and versatility of life on Earth,[145] as well as an understanding of the molecular systems that some organisms utilise to survive such extremes, is important for the search for life beyond Earth.[123] For example, lichen could survive for a month in a simulated Martian environment.[148][149]",A: Microbes can only survive in shallow ocean environments.,"B: Microbes thrive at depths of up to 1,900 feet below the sea floor.",C: Microbes are not present in subduction zones.,D: Microbes are highly sensitive to high temperatures.,E: Microbes cannot survive in sediment below the sea floor.,Answer: B,104
Why is the investigation of extremophiles important for the search for life beyond Earth?,"To survive, selected microorganisms can assume forms that enable them to withstand freezing, complete desiccation, starvation, high levels of radiation exposure, and other physical or chemical challenges. These microorganisms may survive exposure to such conditions for weeks, months, years, or even centuries.[123] Extremophiles are microbial life forms that thrive outside the ranges where life is commonly found.[145] They excel at exploiting uncommon sources of energy. While all organisms are composed of nearly identical molecules, evolution has enabled such microbes to cope with this wide range of physical and chemical conditions. Characterization of the structure and metabolic diversity of microbial communities in such extreme environments is ongoing.[146] Microbial life forms thrive even in the Mariana Trench, the deepest spot in the Earth's oceans.[135][136] Microbes also thrive inside rocks up to 1,900 feet (580 m) below the sea floor under 8,500 feet (2,600 m) of ocean.[135][137] Expeditions of the International Ocean Discovery Program found unicellular life in 120 °C sediment that is 1.2 km below seafloor in the Nankai Trough subduction zone.[147] Investigation of the tenacity and versatility of life on Earth,[145] as well as an understanding of the molecular systems that some organisms utilise to survive such extremes, is important for the search for life beyond Earth.[123] For example, lichen could survive for a month in a simulated Martian environment.[148][149]",A: Extremophiles are the only form of life found on other planets.,B: Extremophiles provide clues about the evolution of multicellular organisms.,C: Extremophiles demonstrate that life can adapt to a wide range of conditions.,D: Extremophiles are used as a food source in space exploration.,E: Extremophiles are the primary source of energy in extreme environments.,Answer: C,104
How did lichen perform in a simulated Martian environment?,"To survive, selected microorganisms can assume forms that enable them to withstand freezing, complete desiccation, starvation, high levels of radiation exposure, and other physical or chemical challenges. These microorganisms may survive exposure to such conditions for weeks, months, years, or even centuries.[123] Extremophiles are microbial life forms that thrive outside the ranges where life is commonly found.[145] They excel at exploiting uncommon sources of energy. While all organisms are composed of nearly identical molecules, evolution has enabled such microbes to cope with this wide range of physical and chemical conditions. Characterization of the structure and metabolic diversity of microbial communities in such extreme environments is ongoing.[146] Microbial life forms thrive even in the Mariana Trench, the deepest spot in the Earth's oceans.[135][136] Microbes also thrive inside rocks up to 1,900 feet (580 m) below the sea floor under 8,500 feet (2,600 m) of ocean.[135][137] Expeditions of the International Ocean Discovery Program found unicellular life in 120 °C sediment that is 1.2 km below seafloor in the Nankai Trough subduction zone.[147] Investigation of the tenacity and versatility of life on Earth,[145] as well as an understanding of the molecular systems that some organisms utilise to survive such extremes, is important for the search for life beyond Earth.[123] For example, lichen could survive for a month in a simulated Martian environment.[148][149]",A: Lichen thrived and reproduced rapidly.,B: Lichen survived for a month but did not reproduce.,C: Lichen could not survive in the simulated environment.,D: Lichen survived but showed signs of stress and reduced growth.,E: Lichen only survived for a few days in the simulated environment.,Answer: B,104
What defines a facultative anaerobe?,"Anaerobe An organism with optimal growth in the absence of molecular oxygen. Two sub-types exist: facultative anaerobe and obligate anaerobe. A facultative anaerobe can tolerate anoxic and oxic conditions whilst an obligate anaerobe will die in the presence of even low levels of molecular oxygen.: Capnophile An organism with optimal growth conditions in high concentrations of carbon dioxide. An example would be Mannheimia succiniciproducens, a bacterium that inhabits a ruminant animal's digestive system.[20] Cryptoendolith An organism that lives in microscopic spaces within rocks, such as pores between aggregate grains. These may also be called endolith, a term that also includes organisms populating fissures, aquifers, and faults filled with groundwater in the deep subsurface. Halophile An organism with optimal growth at a concentration of dissolved salts of 50 g/L (= 5% m/v) or above. Hyperpiezophile An organism with optimal growth at hydrostatic pressures above 50 MPa (= 493 atm = 7,252 psi).",A: It can only tolerate anoxic conditions.,B: It can only tolerate oxic conditions.,C: It can thrive in both anoxic and oxic conditions.,D: It can only survive in the presence of molecular oxygen.,E: It will die in the absence of molecular oxygen.,Answer: C,104
Which type of organism prefers high concentrations of carbon dioxide?,"Anaerobe An organism with optimal growth in the absence of molecular oxygen. Two sub-types exist: facultative anaerobe and obligate anaerobe. A facultative anaerobe can tolerate anoxic and oxic conditions whilst an obligate anaerobe will die in the presence of even low levels of molecular oxygen.: Capnophile An organism with optimal growth conditions in high concentrations of carbon dioxide. An example would be Mannheimia succiniciproducens, a bacterium that inhabits a ruminant animal's digestive system.[20] Cryptoendolith An organism that lives in microscopic spaces within rocks, such as pores between aggregate grains. These may also be called endolith, a term that also includes organisms populating fissures, aquifers, and faults filled with groundwater in the deep subsurface. Halophile An organism with optimal growth at a concentration of dissolved salts of 50 g/L (= 5% m/v) or above. Hyperpiezophile An organism with optimal growth at hydrostatic pressures above 50 MPa (= 493 atm = 7,252 psi).",A: Halophile,B: Hyperpiezophile,C: Capnophile,D: Cryptoendolith,E: Anaerobe,Answer: C,104
What is the term for an organism that lives in microscopic spaces within rocks?,"Anaerobe An organism with optimal growth in the absence of molecular oxygen. Two sub-types exist: facultative anaerobe and obligate anaerobe. A facultative anaerobe can tolerate anoxic and oxic conditions whilst an obligate anaerobe will die in the presence of even low levels of molecular oxygen.: Capnophile An organism with optimal growth conditions in high concentrations of carbon dioxide. An example would be Mannheimia succiniciproducens, a bacterium that inhabits a ruminant animal's digestive system.[20] Cryptoendolith An organism that lives in microscopic spaces within rocks, such as pores between aggregate grains. These may also be called endolith, a term that also includes organisms populating fissures, aquifers, and faults filled with groundwater in the deep subsurface. Halophile An organism with optimal growth at a concentration of dissolved salts of 50 g/L (= 5% m/v) or above. Hyperpiezophile An organism with optimal growth at hydrostatic pressures above 50 MPa (= 493 atm = 7,252 psi).",A: Halophile,B: Anaerobe,C: Hyperpiezophile,D: Capnophile,E: Cryptoendolith,Answer: E,104
At what concentration of dissolved salts does a halophile thrive?,"Anaerobe An organism with optimal growth in the absence of molecular oxygen. Two sub-types exist: facultative anaerobe and obligate anaerobe. A facultative anaerobe can tolerate anoxic and oxic conditions whilst an obligate anaerobe will die in the presence of even low levels of molecular oxygen.: Capnophile An organism with optimal growth conditions in high concentrations of carbon dioxide. An example would be Mannheimia succiniciproducens, a bacterium that inhabits a ruminant animal's digestive system.[20] Cryptoendolith An organism that lives in microscopic spaces within rocks, such as pores between aggregate grains. These may also be called endolith, a term that also includes organisms populating fissures, aquifers, and faults filled with groundwater in the deep subsurface. Halophile An organism with optimal growth at a concentration of dissolved salts of 50 g/L (= 5% m/v) or above. Hyperpiezophile An organism with optimal growth at hydrostatic pressures above 50 MPa (= 493 atm = 7,252 psi).",A: 5% m/v or above,B: 1% m/v or above,C: 10% m/v or above,D: 20% m/v or above,E: 50% m/v or above,Answer: A,104
What defines a hyperpiezophile in terms of hydrostatic pressures?,"Anaerobe An organism with optimal growth in the absence of molecular oxygen. Two sub-types exist: facultative anaerobe and obligate anaerobe. A facultative anaerobe can tolerate anoxic and oxic conditions whilst an obligate anaerobe will die in the presence of even low levels of molecular oxygen.: Capnophile An organism with optimal growth conditions in high concentrations of carbon dioxide. An example would be Mannheimia succiniciproducens, a bacterium that inhabits a ruminant animal's digestive system.[20] Cryptoendolith An organism that lives in microscopic spaces within rocks, such as pores between aggregate grains. These may also be called endolith, a term that also includes organisms populating fissures, aquifers, and faults filled with groundwater in the deep subsurface. Halophile An organism with optimal growth at a concentration of dissolved salts of 50 g/L (= 5% m/v) or above. Hyperpiezophile An organism with optimal growth at hydrostatic pressures above 50 MPa (= 493 atm = 7,252 psi).",A: It can only tolerate pressures below 50 MPa.,B: It can thrive at pressures above 50 MPa.,C: It can tolerate pressures up to 50 MPa but not higher.,D: It cannot survive at any hydrostatic pressure.,E: It can only tolerate pressures below 5 MPa.,Answer: B,104
What defines a hyperthermophile in terms of temperature?,"Hyperthermophile An organism with optimal growth at temperatures above 80 °C (176 °F). Hypolith An organism that lives underneath rocks in cold deserts. Metallotolerant Capable of tolerating high levels of dissolved heavy metals in solution, such as copper, cadmium, arsenic, and zinc. Examples include Ferroplasma sp., Cupriavidus metallidurans and GFAJ-1.[21][22][23] Oligotroph An organism with optimal growth in nutritionally limited environments. Osmophile An organism with optimal growth in environments with a high sugar concentration. Piezophile An organism with optimal growth in hydrostatic pressures above 10 MPa (= 99 atm = 1,450 psi). Also referred to as barophile. Polyextremophile A polyextremophile (faux Ancient Latin/Greek for 'affection for many extremes') is an organism that qualifies as an extremophile under more than one category. Psychrophile/Cryophile An organism with optimal growth at temperatures of 15 °C (59 °F) or lower. Radioresistant Organisms resistant to high levels of ionizing radiation, most commonly ultraviolet radiation. This category also includes organisms capable of resisting nuclear radiation. Sulphophile An organism with optimal growth conditions in high concentrations of sulfur. An example would be Sulfurovum epsilonproteobacteria, a sulfur-oxidizing bacteria that inhabits deep-water sulfur vents.[24] Thermophile An organism with optimal growth at temperatures above 45 °C (113 °F).",A: It thrives at temperatures below 80 °C.,B: It can tolerate temperatures between 80 °C and 100 °C.,C: It prefers temperatures above 100 °C.,D: It can only survive at temperatures above 80 °C.,E: It cannot tolerate high temperatures.,Answer: C,104
Where would you find a hypolith organism?,"Hyperthermophile An organism with optimal growth at temperatures above 80 °C (176 °F). Hypolith An organism that lives underneath rocks in cold deserts. Metallotolerant Capable of tolerating high levels of dissolved heavy metals in solution, such as copper, cadmium, arsenic, and zinc. Examples include Ferroplasma sp., Cupriavidus metallidurans and GFAJ-1.[21][22][23] Oligotroph An organism with optimal growth in nutritionally limited environments. Osmophile An organism with optimal growth in environments with a high sugar concentration. Piezophile An organism with optimal growth in hydrostatic pressures above 10 MPa (= 99 atm = 1,450 psi). Also referred to as barophile. Polyextremophile A polyextremophile (faux Ancient Latin/Greek for 'affection for many extremes') is an organism that qualifies as an extremophile under more than one category. Psychrophile/Cryophile An organism with optimal growth at temperatures of 15 °C (59 °F) or lower. Radioresistant Organisms resistant to high levels of ionizing radiation, most commonly ultraviolet radiation. This category also includes organisms capable of resisting nuclear radiation. Sulphophile An organism with optimal growth conditions in high concentrations of sulfur. An example would be Sulfurovum epsilonproteobacteria, a sulfur-oxidizing bacteria that inhabits deep-water sulfur vents.[24] Thermophile An organism with optimal growth at temperatures above 45 °C (113 °F).",A: In hot springs.,B: Underneath rocks in cold deserts.,C: In the deep ocean.,D: In the Earth's upper atmosphere.,E: Inside volcanic vents.,Answer: B,104
